+--------------+----------------------------------------+------------------------------------------------------------------------+
| biblionumber | author                                 | title                                                                  |
+--------------+----------------------------------------+------------------------------------------------------------------------+
|            1 | Tagore, Abanindranath                  | Ekey Teen Teeney Ek.                                                   |
|            2 | Chakraborty, Amiyo                     | Kobita Songrohon - Amiyo Chakraborty Part 1.                           |
|            3 | Roy, Annadashankar                     | Hoi Re Babui Hoi.                                                      |
|            4 | Devi, Ashapurna                        | Subarnalata.                                                           |
|            5 | Devi, Ashapurna                        | Pratham Pratisruti.                                                    |
|            6 | Devi, Ashapurna                        | Bokul Katha.                                                           |
|            7 | Devi, Ashapurna                        | Galpa Samagra - Vol 1.                                                 |
|            8 | Mukhopadhyay, Ashutosh                 | Nagarpare Rupnagar.                                                    |
|            9 | Banaful                                | Banaful Rachanabali - Vol 1.                                           |
|           10 | Banaful                                | Banaful Rachanabali - Vol 1.                                           |
|           11 | Banaful                                | Banaful Rachanabali - Vol 13.                                          |
|           12 | Chattopadhyay, Bankim Chandra          | Bankim Rachanabali - Vol 1.                                            |
|           13 | Mukhopadhyay, Bibhutibhushan           | Bibhutibhushan Mukhopadhyay Rachanabali.                               |
|           14 | Bandyopadhyay, Bibhutibhushan          | Bibhuti Rachanabali - Vol 9.                                           |
|           15 | Bandyopadhyay, Bibhutibhushan          | Bibhuti Rachanabali - Vol 6.                                           |
|           16 | Bandyopadhyay, Bibhutibhushan          | Bibhuti Rachanabali - Vol 2.                                           |
|           17 | Bandyopadhyay, Bibhutibhushan          | Bibhuti Rachanabali - Vol 12.                                          |
|           18 | Bandyopadhyay, Bibhutibhushan          | Bibhuti Rachanabali - Vol 11.                                          |
|           19 | Bandyopadhyay, Bibhutibhushan          | Bibhuti Rachanabali - Vol 10.                                          |
|           20 | Bandyopadhyay, Bibhutibhushan          | Bibhuti Rachanabali - Vol 5.                                           |
|           21 | Bandyopadhyay, Bibhutibhushan          | Bibhuti Rachanabali - Vol 3.                                           |
|           22 | Bandyopadhyay, Bibhutibhushan          | Bibhuti Rachanabali - Vol 4.                                           |
|           23 | Bandyopadhyay, Bibhutibhushan          | Bibhuti Rachanabali - Vol 8.                                           |
|           24 | Bandyopadhyay, Bibhutibhushan          | Bibhuti Rachanabali - Vol 1.                                           |
|           25 | De, Bishnu                             | Urvashi aar Artemis.                                                   |
|           26 | Dey, Bishnu                            | Rushti Panchasati.                                                     |
|           27 | Mitra Majumdar, Dakhinaranjan          | Dakhinaranjan Rachana Samagra.                                         |
|           28 | Mitra Majumdar, Dakhinaranjan          | Dakhinaranjan Rachana Samagra.                                         |
|           29 | Sanyal, Ed. Avanti                     | Hazar Bochorer Premer Kobita.                                          |
|           30 | Chattopadhyay, Ed. Shankar             | Ey Doshoker Kobita.                                                    |
|           31 | Ghosh, Gour Kishore                    | Prem Nei.                                                              |
|           32 | Chattopadhyay, Ishwarchandra           | Bidyasagar Rachana Sangraha Vol 3.                                     |
|           33 | Chattopadhyay, Ishwarchandra           | Bidyasagar Rachana Sangraha Vol 1.                                     |
|           34 | Chattopadhyay, Ishwarchandra           | Bidyasagar Rachana Sangraha Vol 2.                                     |
|           35 | Jharna Basu, Mafidul Haque             | Abarudha Ashrur Din.                                                   |
|           36 | Das, Jibanananda                       | Dhushar Pandulipi.                                                     |
|           37 | Das, Jibanananda                       | Jibanananda Dash Shreshto Kobita.                                      |
|           38 | Das, Jibanananda                       | Jibanananda Samagra - Vol 3.                                           |
|           39 | Das, Jibanananda                       | Jibanananda Samagra - Vol 4.                                           |
|           40 | Das, Jibanananda                       | Jibanananda Samagra - Vol 6.                                           |
|           41 | Kalidas                                | Kalidas Samagra.                                                       |
|           42 | Kalidas                                | Kumarsombhob.                                                          |
|           43 | Dyson, Ketaki Kushari                  | Dolon Champay Phool Phutecheye.                                        |
|           44 | Devi, Mahasweta                        | Swa-Nirbachito Shreshtho Galpa.                                        |
|           45 | Devi, Maitreyi                         | Na Hanyate.                                                            |
|           46 | Bagchi, Moni                           | Bigyan Acharya Satyendranath.                                          |
|           47 | Sanyal, Narayan                        | Ajanta Aparupa.                                                        |
|           48 | Sanyal, Narayan                        | Rani Kadombini Ebong.                                                  |
|           49 | Sanyal, Narayan                        | Rodin.                                                                 |
|           50 | Sanyal, Narayan                        | Agnikanya Mamata.                                                      |
|           51 | Sanyal, Narayan                        | Rupamanjari Vol 3.                                                     |
|           52 | Sanyal, Narayan                        | Rupamanjari Vol 2.                                                     |
|           53 | Sanyal, Narayan                        | Abismaraniya.                                                          |
|           54 | Ibrahim, Nilima                        | Ami Birangona Bolchhi.                                                 |
|           55 | Chaudhuri, Nirad C.                    | Amar Debottar Sompotti.                                                |
|           56 | Chaudhuri, Nirad C.                    | Aji Hate Satabarsha Age.                                               |
|           57 | Chakraborty, Nirendranath              | Kolkatar Jishu.                                                        |
|           58 | Roy, Nirmal Kumar                      | Rani Rasmanir Jibonbrityanto.                                          |
